,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
82,22100042,1610612749,Bucks,MIL,Milwaukee,240:00,41.0,85.0,0.482,11.0,32.0,0.344,26.0,31.0,0.8390000000000001,7.0,35.0,42.0,24.0,13.0,6.0,13.0,19.0,119.0,10.0
83,22100042,1610612754,Pacers,IND,Indiana,240:00,40.0,90.0,0.444,14.0,36.0,0.389,15.0,17.0,0.882,12.0,35.0,47.0,23.0,6.0,1.0,19.0,24.0,109.0,-10.0
84,22100043,1610612765,Pistons,DET,Detroit,240:00,40.0,91.0,0.44,9.0,33.0,0.273,15.0,18.0,0.833,11.0,25.0,36.0,26.0,7.0,6.0,14.0,15.0,104.0,-18.0
85,22100043,1610612737,Hawks,ATL,Atlanta,240:00,46.0,90.0,0.511,12.0,32.0,0.375,18.0,21.0,0.857,10.0,39.0,49.0,24.0,11.0,3.0,13.0,19.0,122.0,18.0
86,22100044,1610612764,Wizards,WAS,Washington,240:00,33.0,95.0,0.34700000000000003,9.0,39.0,0.231,15.0,20.0,0.75,10.0,43.0,53.0,16.0,5.0,5.0,12.0,17.0,90.0,-14.0
87,22100044,1610612751,Nets,BKN,Brooklyn,240:00,40.0,94.0,0.426,10.0,35.0,0.28600000000000003,14.0,17.0,0.8240000000000001,7.0,47.0,54.0,23.0,6.0,4.0,9.0,19.0,104.0,14.0
88,22100045,1610612753,Magic,ORL,Orlando,240:00,33.0,81.0,0.407,12.0,44.0,0.273,12.0,19.0,0.632,6.0,33.0,39.0,21.0,7.0,6.0,16.0,22.0,90.0,-17.0
89,22100045,1610612748,Heat,MIA,Miami,240:00,41.0,87.0,0.471,6.0,27.0,0.222,19.0,19.0,1.0,9.0,33.0,42.0,28.0,10.0,2.0,10.0,19.0,107.0,17.0
90,22100046,1610612761,Raptors,TOR,Toronto,240:00,40.0,83.0,0.482,12.0,30.0,0.4,16.0,20.0,0.8,13.0,34.0,47.0,27.0,8.0,1.0,19.0,18.0,108.0,-3.0
91,22100046,1610612741,Bulls,CHI,Chicago,240:00,39.0,81.0,0.481,12.0,27.0,0.444,21.0,22.0,0.955,5.0,24.0,29.0,24.0,11.0,3.0,13.0,16.0,111.0,3.0
92,22100047,1610612740,Pelicans,NOP,New Orleans,240:00,39.0,87.0,0.448,10.0,30.0,0.333,19.0,23.0,0.826,15.0,45.0,60.0,19.0,5.0,5.0,17.0,20.0,107.0,9.0
93,22100047,1610612750,Timberwolves,MIN,Minnesota,240:00,31.0,90.0,0.344,15.0,50.0,0.3,21.0,27.0,0.778,11.0,30.0,41.0,20.0,10.0,7.0,11.0,19.0,98.0,-9.0
94,22100048,1610612743,Nuggets,DEN,Denver,240:00,35.0,86.0,0.407,9.0,38.0,0.237,8.0,12.0,0.667,11.0,36.0,47.0,21.0,10.0,3.0,21.0,22.0,87.0,-12.0
95,22100048,1610612739,Cavaliers,CLE,Cleveland,240:00,38.0,82.0,0.463,7.0,25.0,0.28,16.0,20.0,0.8,11.0,38.0,49.0,26.0,8.0,5.0,14.0,18.0,99.0,12.0
96,22100049,1610612757,Trail Blazers,POR,Portland,240:00,32.0,85.0,0.376,8.0,37.0,0.21600000000000005,14.0,18.0,0.778,7.0,40.0,47.0,15.0,11.0,4.0,30.0,18.0,86.0,-30.0
97,22100049,1610612746,Clippers,LAC,LA,240:00,44.0,93.0,0.473,14.0,43.0,0.326,14.0,19.0,0.737,5.0,38.0,43.0,37.0,21.0,6.0,17.0,23.0,116.0,30.0
98,22100050,1610612755,76ers,PHI,Philadelphia,240:00,36.0,82.0,0.439,12.0,41.0,0.293,15.0,17.0,0.882,12.0,28.0,40.0,24.0,9.0,4.0,14.0,14.0,99.0,-13.0
99,22100050,1610612752,Knicks,NYK,New York,240:00,41.0,87.0,0.47100000000000003,16.0,37.0,0.4320000000000001,14.0,15.0,0.9329999999999999,13.0,32.0,45.0,24.0,7.0,5.0,12.0,18.0,112.0,13.0
100,22100051,1610612760,Thunder,OKC,Oklahoma City,240:00,36.0,86.0,0.419,12.0,34.0,0.353,14.0,17.0,0.8240000000000001,9.0,33.0,42.0,19.0,7.0,3.0,13.0,18.0,98.0,-8.0
101,22100051,1610612744,Warriors,GSW,Golden State,240:00,39.0,83.0,0.47,14.0,40.0,0.35,14.0,18.0,0.778,7.0,39.0,46.0,30.0,9.0,8.0,15.0,20.0,106.0,8.0
102,22100052,1610612745,Rockets,HOU,Houston,240:00,36.0,86.0,0.419,16.0,39.0,0.41,18.0,26.0,0.6920000000000001,11.0,38.0,49.0,24.0,7.0,3.0,17.0,21.0,106.0,-10.0
103,22100052,1610612742,Mavericks,DAL,Dallas,240:00,43.0,93.0,0.462,12.0,43.0,0.27899999999999997,18.0,25.0,0.72,14.0,36.0,50.0,25.0,9.0,7.0,14.0,22.0,116.0,10.0
104,22100053,1610612759,Spurs,SAS,San Antonio,265:00,48.0,108.0,0.444,13.0,36.0,0.361,12.0,22.0,0.545,16.0,43.0,59.0,33.0,10.0,6.0,15.0,22.0,121.0,-4.0
105,22100053,1610612747,Lakers,LAL,Los Angeles,265:00,50.0,105.0,0.47600000000000003,8.0,30.0,0.267,17.0,22.0,0.773,9.0,47.0,56.0,20.0,8.0,10.0,13.0,21.0,125.0,4.0
106,22100054,1610612762,Jazz,UTA,Utah,240:00,44.0,85.0,0.518,12.0,39.0,0.308,22.0,29.0,0.759,8.0,33.0,41.0,20.0,5.0,6.0,13.0,22.0,122.0,12.0
107,22100054,1610612743,Nuggets,DEN,Denver,240:00,42.0,83.0,0.506,10.0,28.0,0.35700000000000004,16.0,24.0,0.667,5.0,30.0,35.0,19.0,9.0,3.0,13.0,23.0,110.0,-12.0
108,22100055,1610612753,Magic,ORL,Orlando,240:00,43.0,88.0,0.489,15.0,40.0,0.375,10.0,13.0,0.769,8.0,25.0,33.0,22.0,6.0,2.0,18.0,21.0,111.0,-9.0
109,22100055,1610612766,Hornets,CHA,Charlotte,240:00,43.0,83.0,0.518,14.0,30.0,0.467,20.0,24.0,0.833,10.0,30.0,40.0,22.0,14.0,4.0,16.0,14.0,120.0,9.0
110,22100056,1610612764,Wizards,WAS,Washington,240:00,43.0,84.0,0.512,9.0,25.0,0.36,21.0,29.0,0.7240000000000001,11.0,36.0,47.0,18.0,8.0,7.0,15.0,20.0,116.0,9.0
